key,link,n_visit,last_visit,study_interval,is_current,is_retired,box_id,easiness,n_scores
wil,https://www.woorden.org/woord/wil,0,2023-03-17 13:51:35.579094,0,True,False,4693,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
zei,https://www.woorden.org/woord/zei,0,2023-03-17 13:51:35.579094,0,True,False,8037,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
waren,https://www.woorden.org/woord/waren,0,2023-03-17 13:51:35.579094,0,True,False,5704,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
nieuwe,https://www.woorden.org/woord/nieuwe,0,2023-03-17 13:51:35.579094,0,True,False,5704,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
waar,https://www.woorden.org/woord/waar,0,2023-03-17 13:51:35.579094,0,True,False,3582,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
procent,https://www.woorden.org/woord/procent,0,2023-03-17 13:51:35.579094,0,True,False,1360,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
euro,https://www.woorden.org/woord/euro,0,2023-03-17 13:51:35.579094,0,True,False,8037,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
toen,https://www.woorden.org/woord/toen,0,2023-03-17 13:51:35.579094,0,True,False,9148,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
komen,https://www.woorden.org/woord/komen,0,2023-03-17 13:51:35.579094,0,True,False,7926,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
staat,https://www.woorden.org/woord/staat,0,2023-03-17 13:51:35.579094,0,True,False,3582,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
weer,https://www.woorden.org/woord/weer,0,2023-03-17 13:51:35.579094,0,True,False,8037,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
maken,https://www.woorden.org/woord/maken,0,2023-03-17 13:51:35.579094,0,True,False,4693,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
man,https://www.woorden.org/woord/man,0,2023-03-17 13:51:35.579094,0,True,False,8037,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
hem,https://www.woorden.org/woord/hem,0,2023-03-17 13:51:35.579094,0,True,False,7926,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
werden,https://www.woorden.org/woord/werden,0,2023-03-17 13:51:35.579094,0,True,False,9148,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
alle,https://www.woorden.org/woord/alle,0,2023-03-17 13:51:35.579094,0,True,False,3582,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
onderzoek,https://www.woorden.org/woord/onderzoek,0,2023-03-17 13:51:35.579094,0,True,False,2471,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
grote,https://www.woorden.org/woord/grote,0,2023-03-17 13:51:35.579094,0,True,False,1360,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
land,https://www.woorden.org/woord/land,0,2023-03-17 13:51:35.579094,0,True,False,5704,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
komt,https://www.woorden.org/woord/komt,0,2023-03-17 13:51:35.579094,0,True,False,5704,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
eerste,https://www.woorden.org/woord/eerste,0,2023-03-17 13:51:35.579094,0,True,False,7926,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
vandaag,https://www.woorden.org/woord/vandaag,0,2023-03-17 13:51:35.579094,0,True,False,8037,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
afgelopen,https://www.woorden.org/woord/afgelopen,0,2023-03-17 13:51:35.579094,0,True,False,3582,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
aantal,https://www.woorden.org/woord/aantal,0,2023-03-17 13:51:35.579094,0,True,False,4693,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
alleen,https://www.woorden.org/woord/alleen,0,2023-03-17 13:51:35.579094,0,True,False,4693,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
tussen,https://www.woorden.org/woord/tussen,0,2023-03-17 13:51:35.579094,0,True,False,8037,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
minister,https://www.woorden.org/woord/minister,0,2023-03-17 13:51:35.579094,0,True,False,1360,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
week,https://www.woorden.org/woord/week,0,2023-03-17 13:51:35.579094,0,True,False,0259,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
zal,https://www.woorden.org/woord/zal,0,2023-03-17 13:51:35.579094,0,True,False,2471,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
drie,https://www.woorden.org/woord/drie,0,2023-03-17 13:51:35.579094,0,True,False,0259,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
tijd,https://www.woorden.org/woord/tijd,0,2023-03-17 13:51:35.579094,0,True,False,4693,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
