string,count
zaten,7332
legt,7330
vielen,7318
afstand,7292
omgeving,7292
witte,7288
rest,7286
beginnen,7284
stonden,7284
schreef,7279
centraal,7273
bezoekers,7268
hof,7244
kamp,7244
publiek,7239
persbureau,7216
zoeken,7207
idee,7205
beschikbaar,7192
viel,7178
dinsdag,7171
verlaten,7165
gesteld,7164
hetzelfde,7161
kerk,7157
vlak,7147
incident,7143
richting,7139
lichaam,7124
controle,7123
gemeld,7115
lag,7113
top,7113
eisen,7102
waarvan,7090
vind,7086
mogelijke,7086
enorme,7052
gearresteerd,7032
hoogste,7026
bepaalde,7001
woningen,6992
betaald,6990
oppositie,6989
eiland,6985
stappen,6976
actief,6970
organisaties,6965
beleid,6950
lid,6936
systeem,6933
trein,6908
geregeld,6907
namen,6905
rivm,6901
journalisten,6900
verboden,6893
alsnog,6885
migranten,6880
rtv,6879
voormalige,6875
voldoende,6875
woensdag,6872
nauwelijks,6861
donderdag,6841
ga,6840
team,6813
licht,6811
namelijk,6793
verzoek,6791
zoek,6786
spanje,6782
vluchten,6766
gang,6766
film,6714
u,6711
stap,6704
kracht,6700
londen,6677
europees,6672
groei,6665
afghanistan,6648
keren,6647
dingen,6644
aangifte,6633
mocht,6628
miljoenen,6624
irak,6619
sterk,6617
bleef,6606
bedoeld,6605
groenlinks,6598
boeren,6586
gevangenis,6581
eten,6576
discussie,6561
oud,6552
doel,6552
omgekomen,6532
klaar,6532
bewijs,6523
voorstel,6517
opdracht,6510
campagne,6505
nabestaanden,6497
daarover,6496
echter,6488
leeftijd,6473
dertig,6471
oorzaak,6463
straf,6452
gedood,6451
boete,6437
opgenomen,6427
behandeling,6424
gas,6418
jan,6416
gekozen,6409
vereniging,6403
wijk,6403
winkels,6401
journaal,6373
onderdeel,6372
vraagt,6371
invloed,6361
klachten,6356
internationaal,6351
lucht,6343
ernstig,6342
politici,6341
kun,6339
overleed,6322
italiaanse,6315
zie,6309
hield,6294
beetje,6290
afgesloten,6273
leiding,6268
waaronder,6252
bestuur,6250
prins,6249
bieden,6241
zuiden,6234
kiezen,6231
misbruik,6228
ministers,6206
zetels,6200
rode,6196
gewonden,6195
veroorzaakt,6188
allerlei,6174
boord,6138
coalitie,6129
interview,6113
tegenover,6110
neer,6092
wereldwijd,6082
oog,6073
centrale,6068
onlangs,6066
banen,6057
